event_id,timestamp,publisher_id,site_id,session_id,page_id,page_category,ad_unit,ad_format,device,country,ad_requests,impressions,viewable_impressions,clicks,revenue,user_id,traffic_source,is_returning_user,page_views,time_on_page_seconds,scroll_depth_pct,bounce,date
evt_000014,2026-04-13 01:10:00,demo_publisher,site A,sess_001068,page_121,esportes,lateral,banner,celular,BR,3,2,0,0,0.00722,user_002945,orgânico,0,1,143.1,86.3,0,2026-04-13
evt_000015,2026-04-17 03:55:00,demo_publisher,site C,sess_000222,page_077,notícias,intersticial,nativo,celular,BR,6,3,1,0,0.01105,user_002562,redes sociais,0,1,47.8,36.3,0,2026-04-17
evt_000016,2026-03-31 19:02:00,demo_publisher,site A,sess_000664,page_121,entretenimento,rodapé fixo,mídia rica,computador,BR,4,3,3,0,0.01829,user_001139,orgânico,0,1,159.0,56.4,0,2026-03-31
evt_000017,2026-03-08 16:29:00,demo_publisher,site B,sess_000159,page_097,entretenimento,topo da página,banner,computador,BR,1,0,0,0,0.00081,user_002348,redes sociais,0,1,39.9,55.3,0,2026-03-08
evt_000018,2026-04-20 09:14:00,demo_publisher,site B,sess_001516,page_092,estilo de vida,topo da página,nativo,celular,US,5,4,1,0,0.004,user_000287,redes sociais,1,1,12.7,87.4,1,2026-04-20
evt_000019,2026-03-28 00:33:00,demo_publisher,site C,sess_001501,page_005,notícias,topo da página,nativo,celular,BR,3,3,2,0,0.01337,user_002571,redes sociais,0,1,65.5,76.2,1,2026-03-28
evt_000020,2026-03-31 00:30:00,demo_publisher,site B,sess_000516,page_097,esportes,intersticial,mídia rica,celular,BR,3,0,0,0,0.00077,user_001160,orgânico,1,1,56.1,36.7,1,2026-03-31
evt_000021,2026-03-23 05:56:00,demo_publisher,site B,sess_000586,page_063,finanças,topo da página,vídeo,computador,BR,2,1,1,0,0.00559,user_002280,direto,0,1,31.4,82.7,0,2026-03-23
evt_000022,2026-03-11 22:52:00,demo_publisher,site A,sess_000635,page_119,esportes,meio do artigo,banner,computador,BR,3,3,2,1,0.01577,user_002911,redes sociais,0,1,21.5,52.1,0,2026-03-11
evt_000023,2026-04-25 14:32:00,demo_publisher,site C,sess_001778,page_096,notícias,meio do artigo,nativo,tablet,BR,6,5,2,0,0.02331,user_002110,orgânico,0,1,93.4,63.6,0,2026-04-25
evt_000024,2026-04-16 21:27:00,demo_publisher,site C,sess_000977,page_011,estilo de vida,meio do artigo,vídeo,computador,BR,2,0,0,0,0.00404,user_002760,orgânico,0,1,209.2,32.1,0,2026-04-16
evt_000025,2026-04-08 15:09:00,demo_publisher,site A,sess_001524,page_124,estilo de vida,meio do artigo,mídia rica,tablet,BR,4,3,2,0,0.01238,user_000031,orgânico,0,1,36.6,16.9,0,2026-04-08
evt_000026,2026-03-25 03:28:00,demo_publisher,site A,sess_000898,page_009,entretenimento,meio do artigo,nativo,celular,MX,1,1,0,0,0.0,user_000512,orgânico,0,1,99.3,51.9,1,2026-03-25
evt_000027,2026-04-19 08:46:00,demo_publisher,site C,sess_001396,page_042,finanças,lateral,banner,celular,BR,5,5,3,0,0.00929,user_001878,redes sociais,1,1,48.8,45.9,0,2026-04-19
evt_000028,2026-04-02 17:25:00,demo_publisher,site B,sess_001057,page_031,esportes,meio do artigo,nativo,computador,MX,6,5,4,0,0.03355,user_001622,orgânico,0,1,60.3,54.0,0,2026-04-02
evt_000029,2026-03-27 14:30:00,demo_publisher,site A,sess_000557,page_136,finanças,meio do artigo,nativo,celular,BR,6,5,4,0,0.0194,user_000362,orgânico,1,1,45.5,52.4,1,2026-03-27
evt_000030,2026-03-28 00:39:00,demo_publisher,site A,sess_001752,page_022,notícias,meio do artigo,banner,tablet,BR,5,3,1,0,0.00835,user_002155,orgânico,0,1,41.2,59.0,1,2026-03-28
evt_000031,2026-03-14 15:13:00,demo_publisher,site B,sess_001418,page_118,estilo de vida,meio do artigo,mídia rica,celular,BR,5,4,3,0,0.02612,user_000176,orgânico,1,1,50.7,63.0,1,2026-03-14
evt_000032,2026-03-06 12:40:00,demo_publisher,site C,sess_001538,page_031,tecnologia,rodapé fixo,banner,celular,BR,4,3,1,0,0.0072,user_002972,orgânico,1,1,28.7,72.8,0,2026-03-06
evt_000033,2026-04-03 06:36:00,demo_publisher,site A,sess_001896,page_091,notícias,meio do artigo,mídia rica,celular,AR,6,6,4,0,0.01606,user_000470,newsletter,0,1,39.5,72.6,0,2026-04-03
evt_000034,2026-04-23 06:33:00,demo_publisher,site A,sess_000498,page_013,esportes,meio do artigo,banner,computador,MX,1,0,0,0,0.0,user_001336,redes sociais,1,1,143.9,84.7,0,2026-04-23
evt_000035,2026-03-04 19:53:00,demo_publisher,site A,sess_000184,page_055,tecnologia,topo da página,banner,tablet,US,2,2,0,0,0.01305,user_002470,direto,0,1,69.4,60.0,1,2026-03-04
evt_000036,2026-04-21 11:56:00,demo_publisher,site C,sess_001164,page_087,finanças,topo da página,nativo,computador,BR,1,1,1,0,0.00474,user_001542,orgânico,0,1,28.1,40.8,0,2026-04-21
evt_000037,2026-04-19 15:47:00,demo_publisher,site C,sess_000652,page_099,finanças,rodapé fixo,nativo,celular,BR,2,1,1,0,0.00561,user_002231,newsletter,0,1,38.9,86.3,0,2026-04-19
evt_000038,2026-03-17 14:32:00,demo_publisher,site B,sess_000872,page_122,tecnologia,rodapé fixo,vídeo,computador,BR,2,1,1,0,0.00881,user_002111,redes sociais,1,1,35.5,63.7,0,2026-03-17
evt_000039,2026-04-07 21:35:00,demo_publisher,site A,sess_000470,page_114,estilo de vida,topo da página,nativo,celular,BR,3,3,2,1,0.00904,user_002846,redes sociais,0,1,32.4,73.9,0,2026-04-07
evt_000040,2026-03-10 21:55:00,demo_publisher,site B,sess_000797,page_073,notícias,meio do artigo,banner,celular,US,5,3,1,0,0.00695,user_001392,direto,0,1,45.7,74.8,1,2026-03-10
evt_000041,2026-04-15 11:38:00,demo_publisher,site B,sess_000787,page_043,tecnologia,meio do artigo,mídia rica,celular,BR,6,6,5,0,0.01966,user_002936,orgânico,0,1,26.0,52.5,1,2026-04-15
evt_000042,2026-04-12 00:45:00,demo_publisher,site C,sess_000701,page_037,entretenimento,lateral,nativo,computador,CL,4,4,1,0,0.0259,user_001550,newsletter,1,1,84.2,52.2,0,2026-04-12
evt_000043,2026-03-22 06:31:00,demo_publisher,site B,sess_001484,page_139,notícias,topo da página,banner,computador,BR,1,0,0,0,0.00065,user_002679,orgânico,0,1,266.7,98.9,0,2026-03-22
evt_000044,2026-03-05 01:48:00,demo_publisher,site B,sess_001185,page_085,notícias,intersticial,mídia rica,computador,BR,1,1,1,0,0.0051,user_002198,referência,1,1,12.8,31.4,0,2026-03-05
evt_000045,2026-04-28 05:48:00,demo_publisher,site C,sess_000949,page_127,tecnologia,topo da página,banner,tablet,BR,3,3,1,0,0.02311,user_000399,newsletter,0,1,196.7,48.6,0,2026-04-28
evt_000046,2026-03-27 17:47:00,demo_publisher,site A,sess_000226,page_061,estilo de vida,intersticial,banner,computador,BR,4,1,1,0,0.00434,user_001931,redes sociais,0,1,49.7,75.6,0,2026-03-27
evt_000047,2026-04-23 14:05:00,demo_publisher,site B,sess_001141,page_068,esportes,topo da página,nativo,tablet,BR,5,5,1,0,0.01513,user_002635,referência,0,1,41.1,54.1,1,2026-04-23
evt_000048,2026-04-10 16:12:00,demo_publisher,site C,sess_000350,page_115,finanças,meio do artigo,nativo,computador,CL,3,2,1,0,0.01723,user_000385,orgânico,1,1,26.5,54.4,0,2026-04-10
evt_000049,2026-04-16 16:52:00,demo_publisher,site A,sess_000628,page_101,tecnologia,topo da página,nativo,celular,CL,2,2,0,1,0.01055,user_002516,direto,1,1,58.3,74.4,1,2026-04-16
evt_000050,2026-04-15 14:15:00,demo_publisher,site A,sess_000830,page_028,finanças,topo da página,mídia rica,celular,US,1,1,1,0,0.01406,user_000317,orgânico,0,1,41.4,93.8,0,2026-04-15
evt_000051,2026-03-12 16:16:00,demo_publisher,site A,sess_000283,page_073,notícias,intersticial,banner,celular,BR,4,3,2,0,0.0369,user_002613,orgânico,0,1,61.1,61.6,1,2026-03-12
evt_000052,2026-03-22 20:01:00,demo_publisher,site C,sess_000779,page_030,notícias,meio do artigo,mídia rica,celular,CL,6,5,2,0,0.02314,user_002366,redes sociais,0,1,115.2,26.4,1,2026-03-22
evt_000053,2026-03-29 00:04:00,demo_publisher,site B,sess_000534,page_106,finanças,topo da página,banner,celular,AR,1,0,0,0,0.00154,user_000455,redes sociais,1,1,3.2,68.5,1,2026-03-29
evt_000054,2026-03-30 20:49:00,demo_publisher,site B,sess_001699,page_005,entretenimento,intersticial,banner,celular,BR,1,0,0,0,0.0,user_002179,redes sociais,0,1,58.6,66.4,0,2026-03-30
evt_000055,2026-03-03 15:04:00,demo_publisher,site B,sess_001719,page_115,estilo de vida,topo da página,banner,computador,BR,1,1,0,0,0.00473,user_000351,orgânico,0,1,9.2,37.2,0,2026-03-03
evt_000056,2026-04-02 19:03:00,demo_publisher,site A,sess_000010,page_130,esportes,topo da página,banner,tablet,BR,4,3,2,1,0.01478,user_001704,orgânico,1,1,10.5,89.0,0,2026-04-02
evt_000057,2026-03-10 06:10:00,demo_publisher,site A,sess_001205,page_004,entretenimento,topo da página,banner,celular,BR,2,2,1,0,0.01478,user_002771,orgânico,0,1,80.9,69.2,0,2026-03-10
evt_000058,2026-04-14 14:27:00,demo_publisher,site A,sess_001281,page_088,esportes,meio do artigo,vídeo,computador,BR,5,3,2,0,0.0247,user_000618,direto,1,1,22.7,38.1,0,2026-04-14
evt_000059,2026-04-10 23:35:00,demo_publisher,site A,sess_000756,page_011,finanças,rodapé fixo,vídeo,computador,BR,5,5,4,0,0.04201,user_000522,orgânico,0,1,10.7,77.5,1,2026-04-10
evt_000060,2026-04-25 08:26:00,demo_publisher,site C,sess_000938,page_051,notícias,topo da página,vídeo,celular,BR,4,4,3,0,0.02441,user_001269,redes sociais,1,1,198.1,69.2,0,2026-04-25
evt_000061,2026-04-14 16:27:00,demo_publisher,site C,sess_001580,page_047,tecnologia,lateral,banner,celular,CL,1,1,1,0,0.0,user_001106,newsletter,1,1,92.5,45.5,1,2026-04-14
evt_000062,2026-03-22 23:57:00,demo_publisher,site A,sess_000756,page_073,tecnologia,topo da página,vídeo,celular,BR,4,3,2,0,0.00875,user_000146,newsletter,0,1,57.3,32.3,0,2026-03-22
evt_000063,2026-04-28 01:12:00,demo_publisher,site A,sess_000129,page_128,tecnologia,topo da página,banner,computador,BR,3,3,2,0,0.01739,user_001368,redes sociais,0,1,89.6,52.2,1,2026-04-28
evt_000064,2026-03-25 15:37:00,demo_publisher,site B,sess_000745,page_065,esportes,lateral,vídeo,celular,BR,6,5,4,0,0.07898,user_000779,orgânico,0,1,17.5,45.1,1,2026-03-25
evt_000065,2026-03-20 13:11:00,demo_publisher,site B,sess_000508,page_056,finanças,rodapé fixo,vídeo,computador,BR,5,2,2,0,0.02845,user_000374,redes sociais,0,1,28.0,71.4,1,2026-03-20
evt_000066,2026-04-24 07:58:00,demo_publisher,site A,sess_000766,page_013,notícias,meio do artigo,banner,computador,BR,6,6,3,0,0.02377,user_000828,redes sociais,0,1,103.9,52.3,1,2026-04-24
evt_000067,2026-03-23 05:27:00,demo_publisher,site A,sess_000460,page_124,entretenimento,topo da página,nativo,celular,BR,3,3,0,0,0.00984,user_000062,orgânico,1,1,63.8,68.1,0,2026-03-23
evt_000068,2026-03-05 13:56:00,demo_publisher,site B,sess_000300,page_044,notícias,topo da página,mídia rica,computador,BR,2,2,2,0,0.03132,user_002745,newsletter,0,1,26.4,62.8,0,2026-03-05
evt_000069,2026-03-29 04:09:00,demo_publisher,site B,sess_001970,page_065,estilo de vida,lateral,banner,computador,MX,3,2,0,0,0.00808,user_002982,orgânico,0,1,54.8,73.5,0,2026-03-29
evt_000070,2026-04-17 17:46:00,demo_publisher,site B,sess_000258,page_013,tecnologia,lateral,vídeo,computador,BR,5,5,2,0,0.03012,user_001103,orgânico,0,1,69.5,70.1,0,2026-04-17
evt_000071,2026-03-12 08:50:00,demo_publisher,site A,sess_001412,page_041,notícias,meio do artigo,mídia rica,computador,BR,4,2,0,0,0.01028,user_002630,redes sociais,0,1,125.8,78.6,0,2026-03-12
evt_000072,2026-03-28 18:38:00,demo_publisher,site B,sess_001435,page_077,esportes,topo da página,banner,computador,BR,3,3,2,0,0.02029,user_001384,referência,1,1,13.2,40.2,0,2026-03-28
evt_000073,2026-03-08 19:05:00,demo_publisher,site B,sess_001235,page_126,notícias,rodapé fixo,banner,computador,BR,6,3,2,0,0.01418,user_002737,direto,0,1,14.1,79.6,1,2026-03-08
evt_000074,2026-04-11 04:31:00,demo_publisher,site A,sess_001823,page_046,estilo de vida,topo da página,banner,celular,BR,3,3,2,0,0.0182,user_000520,orgânico,0,1,42.2,97.8,0,2026-04-11
evt_000075,2026-03-29 13:00:00,demo_publisher,site A,sess_000010,page_078,entretenimento,lateral,vídeo,tablet,BR,6,4,0,0,0.02475,user_000854,direto,1,1,78.9,83.1,0,2026-03-29
evt_000076,2026-03-20 19:28:00,demo_publisher,site B,sess_000603,page_122,finanças,lateral,banner,computador,BR,4,4,4,1,0.01183,user_002219,referência,0,1,31.3,35.7,0,2026-03-20
evt_000077,2026-03-14 14:44:00,demo_publisher,site B,sess_000369,page_051,entretenimento,topo da página,nativo,celular,BR,1,1,1,0,0.00583,user_000661,direto,0,1,43.8,91.7,1,2026-03-14
evt_000078,2026-04-03 20:52:00,demo_publisher,site A,sess_001154,page_041,notícias,meio do artigo,banner,celular,BR,3,1,0,0,0.00359,user_002470,orgânico,0,1,10.6,73.8,1,2026-04-03
evt_000079,2026-04-10 04:31:00,demo_publisher,site A,sess_001271,page_007,esportes,meio do artigo,mídia rica,computador,BR,5,4,4,0,0.02666,user_001278,redes sociais,0,1,7.7,78.9,0,2026-04-10
evt_000080,2026-04-26 10:02:00,demo_publisher,site A,sess_001795,page_127,entretenimento,lateral,mídia rica,computador,US,6,4,1,0,0.01701,user_001212,referência,1,1,10.9,41.6,0,2026-04-26
evt_000081,2026-03-27 05:29:00,demo_publisher,site C,sess_000760,page_016,entretenimento,rodapé fixo,nativo,computador,BR,4,3,3,0,0.03082,user_001360,orgânico,0,1,91.1,28.4,1,2026-03-27
evt_000082,2026-03-10 15:23:00,demo_publisher,site C,sess_000472,page_030,esportes,meio do artigo,mídia rica,celular,BR,1,1,1,0,0.00841,user_002393,redes sociais,1,1,9.0,88.1,1,2026-03-10
evt_000083,2026-04-19 23:03:00,demo_publisher,site B,sess_001848,page_020,estilo de vida,topo da página,nativo,celular,BR,3,3,2,0,0.01001,user_000017,direto,1,1,56.7,48.3,1,2026-04-19
evt_000084,2026-04-07 18:51:00,demo_publisher,site A,sess_001346,page_099,entretenimento,meio do artigo,mídia rica,computador,BR,6,3,1,0,0.01318,user_002252,direto,1,1,18.0,41.0,1,2026-04-07
evt_000085,2026-04-12 00:22:00,demo_publisher,site B,sess_001529,page_051,tecnologia,lateral,banner,computador,US,3,2,1,0,0.01643,user_002337,orgânico,0,1,28.6,26.1,0,2026-04-12
evt_000086,2026-03-06 20:00:00,demo_publisher,site C,sess_000890,page_098,estilo de vida,meio do artigo,banner,computador,BR,3,1,0,0,0.00265,user_002463,orgânico,0,1,7.2,22.7,1,2026-03-06
evt_000087,2026-03-19 17:48:00,demo_publisher,site B,sess_000895,page_085,notícias,rodapé fixo,mídia rica,celular,US,6,4,3,0,0.02399,user_002990,redes sociais,0,1,61.9,58.0,1,2026-03-19
evt_000088,2026-04-16 01:41:00,demo_publisher,site A,sess_000778,page_003,notícias,topo da página,banner,computador,US,3,2,1,0,0.0098,user_002346,orgânico,1,1,25.0,76.5,1,2026-04-16
evt_000089,2026-04-19 22:27:00,demo_publisher,site A,sess_001499,page_043,estilo de vida,topo da página,banner,celular,BR,5,4,2,0,0.00927,user_001586,orgânico,0,1,30.8,64.1,0,2026-04-19
evt_000090,2026-03-27 02:42:00,demo_publisher,site A,sess_000422,page_001,finanças,topo da página,vídeo,celular,BR,1,1,1,0,0.00622,user_001398,redes sociais,0,1,46.8,63.1,1,2026-03-27
evt_000091,2026-04-18 06:51:00,demo_publisher,site A,sess_001950,page_010,esportes,rodapé fixo,nativo,celular,BR,4,2,1,0,0.01224,user_001165,orgânico,1,1,72.3,85.3,1,2026-04-18
evt_000092,2026-04-20 12:02:00,demo_publisher,site B,sess_000352,page_066,esportes,lateral,banner,computador,BR,1,0,0,0,0.00617,user_002481,redes sociais,0,1,69.2,88.1,0,2026-04-20
evt_000093,2026-03-24 05:58:00,demo_publisher,site B,sess_000922,page_037,esportes,meio do artigo,banner,celular,MX,2,1,0,0,0.00585,user_001178,newsletter,0,1,74.3,39.3,0,2026-03-24
evt_000094,2026-04-23 21:14:00,demo_publisher,site B,sess_000629,page_013,finanças,meio do artigo,banner,celular,CL,4,2,0,0,0.00584,user_001718,redes sociais,0,1,86.4,69.9,0,2026-04-23
evt_000095,2026-03-18 07:11:00,demo_publisher,site B,sess_001285,page_057,esportes,rodapé fixo,banner,celular,BR,4,4,4,0,0.00967,user_000289,orgânico,0,1,63.7,60.6,0,2026-03-18
evt_000096,2026-03-15 08:57:00,demo_publisher,site A,sess_001361,page_063,esportes,rodapé fixo,banner,celular,BR,1,1,1,0,0.00452,user_000952,orgânico,0,1,41.1,51.7,0,2026-03-15
evt_000097,2026-04-10 22:47:00,demo_publisher,site C,sess_001837,page_138,notícias,meio do artigo,nativo,computador,BR,3,3,2,0,0.02132,user_000799,redes sociais,1,1,23.9,67.4,1,2026-04-10
evt_000098,2026-04-08 04:56:00,demo_publisher,site A,sess_001578,page_092,tecnologia,rodapé fixo,vídeo,computador,BR,3,2,1,0,0.00254,user_001305,redes sociais,0,1,36.0,87.8,1,2026-04-08
evt_000099,2026-03-09 09:14:00,demo_publisher,site A,sess_000498,page_055,estilo de vida,rodapé fixo,banner,celular,BR,3,3,3,0,0.00974,user_001506,referência,0,1,15.4,17.6,0,2026-03-09
evt_000100,2026-04-19 23:08:00,demo_publisher,site C,sess_000414,page_066,notícias,meio do artigo,banner,celular,AR,5,5,1,0,0.01983,user_002149,direto,0,1,23.2,62.7,1,2026-04-19
evt_000101,2026-03-12 23:52:00,demo_publisher,site B,sess_001773,page_013,finanças,meio do artigo,nativo,celular,BR,6,4,3,0,0.01379,user_001296,orgânico,0,1,115.5,69.0,0,2026-03-12
evt_000102,2026-04-18 07:03:00,demo_publisher,site A,sess_000976,page_054,finanças,meio do artigo,banner,celular,MX,1,1,1,0,0.0,user_000451,orgânico,0,1,18.5,61.1,1,2026-04-18
evt_000103,2026-03-01 10:36:00,demo_publisher,site B,sess_000195,page_081,estilo de vida,meio do artigo,banner,celular,MX,6,5,2,0,0.01369,user_001635,redes sociais,0,1,87.1,73.4,0,2026-03-01
evt_000104,2026-04-17 19:27:00,demo_publisher,site B,sess_001650,page_003,estilo de vida,rodapé fixo,banner,celular,BR,1,1,1,0,0.00622,user_000165,orgânico,1,1,37.6,52.7,0,2026-04-17
evt_000105,2026-04-17 05:10:00,demo_publisher,site C,sess_001297,page_128,estilo de vida,meio do artigo,nativo,computador,US,6,6,2,0,0.02618,user_002547,redes sociais,1,1,65.4,43.4,0,2026-04-17
evt_000106,2026-04-16 19:43:00,demo_publisher,site B,sess_000052,page_072,estilo de vida,topo da página,banner,computador,BR,4,3,3,0,0.02514,user_002311,orgânico,0,1,6.1,73.9,0,2026-04-16
evt_000107,2026-04-09 21:23:00,demo_publisher,site C,sess_001565,page_110,notícias,meio do artigo,banner,tablet,US,5,5,5,0,0.01882,user_000676,redes sociais,0,1,41.4,32.7,0,2026-04-09
evt_000108,2026-03-29 07:03:00,demo_publisher,site B,sess_001215,page_039,esportes,lateral,nativo,celular,BR,2,2,0,0,0.00715,user_000790,redes sociais,1,1,64.1,44.0,0,2026-03-29
evt_000109,2026-04-12 07:26:00,demo_publisher,site B,sess_001229,page_117,notícias,topo da página,vídeo,tablet,US,4,4,3,0,0.02651,user_000083,referência,0,1,117.5,41.1,1,2026-04-12
evt_000110,2026-03-17 15:03:00,demo_publisher,site C,sess_001730,page_051,finanças,meio do artigo,vídeo,celular,AR,4,2,2,0,0.01251,user_001093,orgânico,0,1,43.6,100.0,0,2026-03-17
evt_000111,2026-04-16 20:14:00,demo_publisher,site A,sess_000991,page_130,finanças,topo da página,mídia rica,tablet,BR,2,2,1,0,0.01027,user_000115,referência,0,1,72.9,68.9,0,2026-04-16
evt_000112,2026-04-03 08:07:00,demo_publisher,site A,sess_000923,page_073,tecnologia,rodapé fixo,nativo,computador,BR,4,4,0,0,0.01982,user_002809,redes sociais,0,1,48.3,30.3,0,2026-04-03
evt_000113,2026-03-28 12:50:00,demo_publisher,site A,sess_001235,page_089,notícias,topo da página,banner,celular,BR,6,4,0,0,0.01302,user_000403,direto,0,1,28.4,63.1,0,2026-03-28
evt_000114,2026-03-31 08:04:00,demo_publisher,site A,sess_000396,page_029,estilo de vida,topo da página,banner,celular,BR,1,1,0,0,0.00144,user_001978,redes sociais,0,1,46.4,35.5,1,2026-03-31
evt_000115,2026-04-04 02:59:00,demo_publisher,site B,sess_000304,page_139,esportes,rodapé fixo,banner,computador,BR,3,2,2,0,0.00717,user_001711,referência,1,1,23.2,63.7,0,2026-04-04
evt_000116,2026-03-03 05:39:00,demo_publisher,site A,sess_001687,page_027,esportes,topo da página,banner,computador,US,3,2,1,0,0.00947,user_000711,direto,0,1,43.5,31.2,1,2026-03-03
evt_000117,2026-03-09 09:18:00,demo_publisher,site B,sess_000431,page_005,tecnologia,lateral,banner,computador,MX,2,2,2,0,0.00954,user_002424,orgânico,1,1,60.1,27.4,1,2026-03-09
evt_000118,2026-03-15 17:29:00,demo_publisher,site C,sess_001009,page_062,notícias,meio do artigo,banner,computador,BR,3,1,1,0,0.00402,user_000327,orgânico,0,1,71.7,72.3,0,2026-03-15
evt_000119,2026-03-07 20:55:00,demo_publisher,site A,sess_000540,page_117,esportes,rodapé fixo,vídeo,tablet,BR,1,1,1,0,0.00885,user_002660,newsletter,0,1,49.8,45.4,0,2026-03-07
evt_000120,2026-03-27 09:02:00,demo_publisher,site B,sess_000461,page_129,esportes,topo da página,nativo,tablet,BR,1,1,1,0,0.00354,user_002221,redes sociais,0,1,51.9,83.2,0,2026-03-27
evt_000121,2026-04-10 02:30:00,demo_publisher,site C,sess_001195,page_120,tecnologia,topo da página,banner,celular,BR,6,3,3,0,0.02384,user_001905,referência,0,1,65.5,13.9,0,2026-04-10
evt_000122,2026-04-09 06:22:00,demo_publisher,site A,sess_001604,page_077,notícias,topo da página,nativo,tablet,BR,2,1,0,0,0.00604,user_002639,referência,0,1,59.7,69.6,0,2026-04-09
evt_000123,2026-03-29 06:22:00,demo_publisher,site A,sess_000884,page_128,entretenimento,rodapé fixo,banner,celular,MX,2,2,0,0,0.0074,user_001210,orgânico,1,1,87.0,48.2,0,2026-03-29
evt_000124,2026-04-21 07:18:00,demo_publisher,site C,sess_000278,page_069,entretenimento,rodapé fixo,nativo,tablet,BR,4,3,3,0,0.01104,user_000845,referência,0,1,47.8,72.7,0,2026-04-21
evt_000125,2026-04-03 21:56:00,demo_publisher,site A,sess_000489,page_067,tecnologia,meio do artigo,nativo,computador,CL,5,4,4,0,0.0499,user_000464,orgânico,0,1,44.3,49.6,0,2026-04-03
evt_000126,2026-03-05 18:02:00,demo_publisher,site C,sess_000329,page_026,esportes,topo da página,banner,computador,MX,6,5,4,0,0.0154,user_002773,orgânico,0,1,13.0,70.2,1,2026-03-05
evt_000127,2026-04-15 21:35:00,demo_publisher,site A,sess_001765,page_110,estilo de vida,topo da página,banner,celular,MX,4,3,2,0,0.00654,user_001204,direto,1,1,89.9,52.5,1,2026-04-15
evt_000128,2026-04-04 11:25:00,demo_publisher,site B,sess_000639,page_044,notícias,topo da página,mídia rica,celular,BR,2,2,0,0,0.01649,user_002488,referência,0,1,54.8,60.0,0,2026-04-04
evt_000129,2026-04-08 01:59:00,demo_publisher,site C,sess_000748,page_028,entretenimento,topo da página,nativo,celular,BR,2,2,1,0,0.00679,user_000997,redes sociais,0,1,47.5,84.2,1,2026-04-08
evt_000130,2026-04-03 22:08:00,demo_publisher,site C,sess_000143,page_052,finanças,rodapé fixo,nativo,celular,BR,5,4,3,0,0.01838,user_002865,orgânico,0,1,123.0,67.2,1,2026-04-03
evt_000131,2026-04-03 05:09:00,demo_publisher,site A,sess_000892,page_084,notícias,topo da página,banner,computador,BR,6,6,2,0,0.02305,user_002610,redes sociais,1,1,111.2,45.5,0,2026-04-03
