event_id,timestamp,user_id,session_id,page_id,page_category,device,traffic_source,is_returning_user,page_views,time_on_page_seconds,scroll_depth_pct,bounce
evt_000025,2026-04-08 15:09:00,user_000031,sess_001524,page_124,estilo de vida,tablet,orgânico,0,1,36.6,16.9,0
evt_000026,2026-03-25 03:28:00,user_000512,sess_000898,page_009,entretenimento,celular,orgânico,0,1,99.3,51.9,1
evt_000027,2026-04-19 08:46:00,user_001878,sess_001396,page_042,finanças,celular,redes sociais,1,1,48.8,45.9,0
evt_000028,2026-04-02 17:25:00,user_001622,sess_001057,page_031,esportes,computador,orgânico,0,1,60.3,54.0,0
evt_000029,2026-03-27 14:30:00,user_000362,sess_000557,page_136,finanças,celular,orgânico,1,1,45.5,52.4,1
evt_000030,2026-03-28 00:39:00,user_002155,sess_001752,page_022,notícias,tablet,orgânico,0,1,41.2,59.0,1
evt_000031,2026-03-14 15:13:00,user_000176,sess_001418,page_118,estilo de vida,celular,orgânico,1,1,50.7,63.0,1
evt_000032,2026-03-06 12:40:00,user_002972,sess_001538,page_031,tecnologia,celular,orgânico,1,1,28.7,72.8,0
evt_000033,2026-04-03 06:36:00,user_000470,sess_001896,page_091,notícias,celular,newsletter,0,1,39.5,72.6,0
evt_000034,2026-04-23 06:33:00,user_001336,sess_000498,page_013,esportes,computador,redes sociais,1,1,143.9,84.7,0
evt_000035,2026-03-04 19:53:00,user_002470,sess_000184,page_055,tecnologia,tablet,direto,0,1,69.4,60.0,1
evt_000036,2026-04-21 11:56:00,user_001542,sess_001164,page_087,finanças,computador,orgânico,0,1,28.1,40.8,0
evt_000037,2026-04-19 15:47:00,user_002231,sess_000652,page_099,finanças,celular,newsletter,0,1,38.9,86.3,0
evt_000038,2026-03-17 14:32:00,user_002111,sess_000872,page_122,tecnologia,computador,redes sociais,1,1,35.5,63.7,0
evt_000039,2026-04-07 21:35:00,user_002846,sess_000470,page_114,estilo de vida,celular,redes sociais,0,1,32.4,73.9,0
evt_000040,2026-03-10 21:55:00,user_001392,sess_000797,page_073,notícias,celular,direto,0,1,45.7,74.8,1
evt_000041,2026-04-15 11:38:00,user_002936,sess_000787,page_043,tecnologia,celular,orgânico,0,1,26.0,52.5,1
evt_000042,2026-04-12 00:45:00,user_001550,sess_000701,page_037,entretenimento,computador,newsletter,1,1,84.2,52.2,0
evt_000043,2026-03-22 06:31:00,user_002679,sess_001484,page_139,notícias,computador,orgânico,0,1,266.7,98.9,0
evt_000044,2026-03-05 01:48:00,user_002198,sess_001185,page_085,notícias,computador,referência,1,1,12.8,31.4,0
evt_000045,2026-04-28 05:48:00,user_000399,sess_000949,page_127,tecnologia,tablet,newsletter,0,1,196.7,48.6,0
evt_000046,2026-03-27 17:47:00,user_001931,sess_000226,page_061,estilo de vida,computador,redes sociais,0,1,49.7,75.6,0
evt_000047,2026-04-23 14:05:00,user_002635,sess_001141,page_068,esportes,tablet,referência,0,1,41.1,54.1,1
evt_000048,2026-04-10 16:12:00,user_000385,sess_000350,page_115,finanças,computador,orgânico,1,1,26.5,54.4,0
evt_000049,2026-04-16 16:52:00,user_002516,sess_000628,page_101,tecnologia,celular,direto,1,1,58.3,74.4,1
evt_000050,2026-04-15 14:15:00,user_000317,sess_000830,page_028,finanças,celular,orgânico,0,1,41.4,93.8,0
evt_000051,2026-03-12 16:16:00,user_002613,sess_000283,page_073,notícias,celular,orgânico,0,1,61.1,61.6,1
evt_000052,2026-03-22 20:01:00,user_002366,sess_000779,page_030,notícias,celular,redes sociais,0,1,115.2,26.4,1
evt_000053,2026-03-29 00:04:00,user_000455,sess_000534,page_106,finanças,celular,redes sociais,1,1,3.2,68.5,1
evt_000054,2026-03-30 20:49:00,user_002179,sess_001699,page_005,entretenimento,celular,redes sociais,0,1,58.6,66.4,0
evt_000055,2026-03-03 15:04:00,user_000351,sess_001719,page_115,estilo de vida,computador,orgânico,0,1,9.2,37.2,0
evt_000056,2026-04-02 19:03:00,user_001704,sess_000010,page_130,esportes,tablet,orgânico,1,1,10.5,89.0,0
evt_000057,2026-03-10 06:10:00,user_002771,sess_001205,page_004,entretenimento,celular,orgânico,0,1,80.9,69.2,0
evt_000058,2026-04-14 14:27:00,user_000618,sess_001281,page_088,esportes,computador,direto,1,1,22.7,38.1,0
evt_000059,2026-04-10 23:35:00,user_000522,sess_000756,page_011,finanças,computador,orgânico,0,1,10.7,77.5,1
evt_000060,2026-04-25 08:26:00,user_001269,sess_000938,page_051,notícias,celular,redes sociais,1,1,198.1,69.2,0
evt_000061,2026-04-14 16:27:00,user_001106,sess_001580,page_047,tecnologia,celular,newsletter,1,1,92.5,45.5,1
evt_000062,2026-03-22 23:57:00,user_000146,sess_000756,page_073,tecnologia,celular,newsletter,0,1,57.3,32.3,0
evt_000063,2026-04-28 01:12:00,user_001368,sess_000129,page_128,tecnologia,computador,redes sociais,0,1,89.6,52.2,1
evt_000064,2026-03-25 15:37:00,user_000779,sess_000745,page_065,esportes,celular,orgânico,0,1,17.5,45.1,1
evt_000065,2026-03-20 13:11:00,user_000374,sess_000508,page_056,finanças,computador,redes sociais,0,1,28.0,71.4,1
evt_000066,2026-04-24 07:58:00,user_000828,sess_000766,page_013,notícias,computador,redes sociais,0,1,103.9,52.3,1
evt_000067,2026-03-23 05:27:00,user_000062,sess_000460,page_124,entretenimento,celular,orgânico,1,1,63.8,68.1,0
evt_000068,2026-03-05 13:56:00,user_002745,sess_000300,page_044,notícias,computador,newsletter,0,1,26.4,62.8,0
evt_000069,2026-03-29 04:09:00,user_002982,sess_001970,page_065,estilo de vida,computador,orgânico,0,1,54.8,73.5,0
evt_000070,2026-04-17 17:46:00,user_001103,sess_000258,page_013,tecnologia,computador,orgânico,0,1,69.5,70.1,0
evt_000071,2026-03-12 08:50:00,user_002630,sess_001412,page_041,notícias,computador,redes sociais,0,1,125.8,78.6,0
evt_000072,2026-03-28 18:38:00,user_001384,sess_001435,page_077,esportes,computador,referência,1,1,13.2,40.2,0
evt_000073,2026-03-08 19:05:00,user_002737,sess_001235,page_126,notícias,computador,direto,0,1,14.1,79.6,1
evt_000074,2026-04-11 04:31:00,user_000520,sess_001823,page_046,estilo de vida,celular,orgânico,0,1,42.2,97.8,0
evt_000075,2026-03-29 13:00:00,user_000854,sess_000010,page_078,entretenimento,tablet,direto,1,1,78.9,83.1,0
evt_000076,2026-03-20 19:28:00,user_002219,sess_000603,page_122,finanças,computador,referência,0,1,31.3,35.7,0
evt_000077,2026-03-14 14:44:00,user_000661,sess_000369,page_051,entretenimento,celular,direto,0,1,43.8,91.7,1
evt_000078,2026-04-03 20:52:00,user_002470,sess_001154,page_041,notícias,celular,orgânico,0,1,10.6,73.8,1
evt_000079,2026-04-10 04:31:00,user_001278,sess_001271,page_007,esportes,computador,redes sociais,0,1,7.7,78.9,0
evt_000080,2026-04-26 10:02:00,user_001212,sess_001795,page_127,entretenimento,computador,referência,1,1,10.9,41.6,0
evt_000081,2026-03-27 05:29:00,user_001360,sess_000760,page_016,entretenimento,computador,orgânico,0,1,91.1,28.4,1
evt_000082,2026-03-10 15:23:00,user_002393,sess_000472,page_030,esportes,celular,redes sociais,1,1,9.0,88.1,1
evt_000083,2026-04-19 23:03:00,user_000017,sess_001848,page_020,estilo de vida,celular,direto,1,1,56.7,48.3,1
evt_000084,2026-04-07 18:51:00,user_002252,sess_001346,page_099,entretenimento,computador,direto,1,1,18.0,41.0,1
evt_000085,2026-04-12 00:22:00,user_002337,sess_001529,page_051,tecnologia,computador,orgânico,0,1,28.6,26.1,0
evt_000086,2026-03-06 20:00:00,user_002463,sess_000890,page_098,estilo de vida,computador,orgânico,0,1,7.2,22.7,1
evt_000087,2026-03-19 17:48:00,user_002990,sess_000895,page_085,notícias,celular,redes sociais,0,1,61.9,58.0,1
evt_000088,2026-04-16 01:41:00,user_002346,sess_000778,page_003,notícias,computador,orgânico,1,1,25.0,76.5,1
evt_000089,2026-04-19 22:27:00,user_001586,sess_001499,page_043,estilo de vida,celular,orgânico,0,1,30.8,64.1,0
evt_000090,2026-03-27 02:42:00,user_001398,sess_000422,page_001,finanças,celular,redes sociais,0,1,46.8,63.1,1
evt_000091,2026-04-18 06:51:00,user_001165,sess_001950,page_010,esportes,celular,orgânico,1,1,72.3,85.3,1
evt_000092,2026-04-20 12:02:00,user_002481,sess_000352,page_066,esportes,computador,redes sociais,0,1,69.2,88.1,0
evt_000093,2026-03-24 05:58:00,user_001178,sess_000922,page_037,esportes,celular,newsletter,0,1,74.3,39.3,0
evt_000094,2026-04-23 21:14:00,user_001718,sess_000629,page_013,finanças,celular,redes sociais,0,1,86.4,69.9,0
evt_000095,2026-03-18 07:11:00,user_000289,sess_001285,page_057,esportes,celular,orgânico,0,1,63.7,60.6,0
evt_000096,2026-03-15 08:57:00,user_000952,sess_001361,page_063,esportes,celular,orgânico,0,1,41.1,51.7,0
evt_000097,2026-04-10 22:47:00,user_000799,sess_001837,page_138,notícias,computador,redes sociais,1,1,23.9,67.4,1
evt_000098,2026-04-08 04:56:00,user_001305,sess_001578,page_092,tecnologia,computador,redes sociais,0,1,36.0,87.8,1
evt_000099,2026-03-09 09:14:00,user_001506,sess_000498,page_055,estilo de vida,celular,referência,0,1,15.4,17.6,0
evt_000100,2026-04-19 23:08:00,user_002149,sess_000414,page_066,notícias,celular,direto,0,1,23.2,62.7,1
evt_000101,2026-03-12 23:52:00,user_001296,sess_001773,page_013,finanças,celular,orgânico,0,1,115.5,69.0,0
evt_000102,2026-04-18 07:03:00,user_000451,sess_000976,page_054,finanças,celular,orgânico,0,1,18.5,61.1,1
evt_000103,2026-03-01 10:36:00,user_001635,sess_000195,page_081,estilo de vida,celular,redes sociais,0,1,87.1,73.4,0
evt_000104,2026-04-17 19:27:00,user_000165,sess_001650,page_003,estilo de vida,celular,orgânico,1,1,37.6,52.7,0
evt_000105,2026-04-17 05:10:00,user_002547,sess_001297,page_128,estilo de vida,computador,redes sociais,1,1,65.4,43.4,0
evt_000106,2026-04-16 19:43:00,user_002311,sess_000052,page_072,estilo de vida,computador,orgânico,0,1,6.1,73.9,0
evt_000107,2026-04-09 21:23:00,user_000676,sess_001565,page_110,notícias,tablet,redes sociais,0,1,41.4,32.7,0
evt_000108,2026-03-29 07:03:00,user_000790,sess_001215,page_039,esportes,celular,redes sociais,1,1,64.1,44.0,0
evt_000109,2026-04-12 07:26:00,user_000083,sess_001229,page_117,notícias,tablet,referência,0,1,117.5,41.1,1
evt_000110,2026-03-17 15:03:00,user_001093,sess_001730,page_051,finanças,celular,orgânico,0,1,43.6,100.0,0
evt_000111,2026-04-16 20:14:00,user_000115,sess_000991,page_130,finanças,tablet,referência,0,1,72.9,68.9,0
evt_000112,2026-04-03 08:07:00,user_002809,sess_000923,page_073,tecnologia,computador,redes sociais,0,1,48.3,30.3,0
evt_000113,2026-03-28 12:50:00,user_000403,sess_001235,page_089,notícias,celular,direto,0,1,28.4,63.1,0
evt_000114,2026-03-31 08:04:00,user_001978,sess_000396,page_029,estilo de vida,celular,redes sociais,0,1,46.4,35.5,1
evt_000115,2026-04-04 02:59:00,user_001711,sess_000304,page_139,esportes,computador,referência,1,1,23.2,63.7,0
evt_000116,2026-03-03 05:39:00,user_000711,sess_001687,page_027,esportes,computador,direto,0,1,43.5,31.2,1
evt_000117,2026-03-09 09:18:00,user_002424,sess_000431,page_005,tecnologia,computador,orgânico,1,1,60.1,27.4,1
evt_000118,2026-03-15 17:29:00,user_000327,sess_001009,page_062,notícias,computador,orgânico,0,1,71.7,72.3,0
evt_000119,2026-03-07 20:55:00,user_002660,sess_000540,page_117,esportes,tablet,newsletter,0,1,49.8,45.4,0
evt_000120,2026-03-27 09:02:00,user_002221,sess_000461,page_129,esportes,tablet,redes sociais,0,1,51.9,83.2,0
evt_000121,2026-04-10 02:30:00,user_001905,sess_001195,page_120,tecnologia,celular,referência,0,1,65.5,13.9,0
evt_000122,2026-04-09 06:22:00,user_002639,sess_001604,page_077,notícias,tablet,referência,0,1,59.7,69.6,0
evt_000123,2026-03-29 06:22:00,user_001210,sess_000884,page_128,entretenimento,celular,orgânico,1,1,87.0,48.2,0
evt_000124,2026-04-21 07:18:00,user_000845,sess_000278,page_069,entretenimento,tablet,referência,0,1,47.8,72.7,0
evt_000125,2026-04-03 21:56:00,user_000464,sess_000489,page_067,tecnologia,computador,orgânico,0,1,44.3,49.6,0
evt_000126,2026-03-05 18:02:00,user_002773,sess_000329,page_026,esportes,computador,orgânico,0,1,13.0,70.2,1
evt_000127,2026-04-15 21:35:00,user_001204,sess_001765,page_110,estilo de vida,celular,direto,1,1,89.9,52.5,1
evt_000128,2026-04-04 11:25:00,user_002488,sess_000639,page_044,notícias,celular,referência,0,1,54.8,60.0,0
evt_000129,2026-04-08 01:59:00,user_000997,sess_000748,page_028,entretenimento,celular,redes sociais,0,1,47.5,84.2,1
evt_000130,2026-04-03 22:08:00,user_002865,sess_000143,page_052,finanças,celular,orgânico,0,1,123.0,67.2,1
evt_000131,2026-04-03 05:09:00,user_002610,sess_000892,page_084,notícias,computador,redes sociais,1,1,111.2,45.5,0
evt_000132,2026-03-06 10:24:00,user_000924,sess_001827,page_038,esportes,computador,direto,1,1,62.0,38.9,1
evt_000133,2026-04-03 13:15:00,user_001460,sess_000819,page_050,tecnologia,celular,direto,0,1,19.2,67.8,0
evt_000134,2026-04-17 16:40:00,user_002382,sess_001302,page_046,entretenimento,celular,orgânico,1,1,63.9,80.5,0
evt_000135,2026-03-19 05:41:00,user_000679,sess_000364,page_083,finanças,computador,orgânico,1,1,25.4,79.4,0
evt_000136,2026-04-06 04:05:00,user_000072,sess_000286,page_100,finanças,celular,redes sociais,1,1,68.5,100.0,0
evt_000137,2026-03-02 20:22:00,user_000867,sess_001463,page_094,tecnologia,computador,orgânico,0,1,110.5,63.9,0
evt_000138,2026-03-21 20:23:00,user_001772,sess_000132,page_020,tecnologia,celular,referência,1,1,42.4,46.8,0
evt_000139,2026-03-27 04:52:00,user_000410,sess_000897,page_049,tecnologia,celular,orgânico,0,1,14.6,85.3,0
evt_000140,2026-04-28 23:08:00,user_001000,sess_000634,page_091,esportes,celular,redes sociais,1,1,111.3,31.1,1
evt_000141,2026-03-13 21:00:00,user_002755,sess_000033,page_031,estilo de vida,tablet,referência,0,1,17.8,41.9,0
evt_000142,2026-03-17 14:13:00,user_000226,sess_001062,page_010,tecnologia,celular,redes sociais,0,1,50.0,59.6,1
evt_000143,2026-03-25 12:16:00,user_000151,sess_001928,page_045,notícias,tablet,direto,0,1,40.7,37.5,0
evt_000144,2026-04-29 13:26:00,user_001272,sess_000139,page_095,esportes,celular,orgânico,0,1,64.4,68.8,0
evt_000145,2026-04-21 04:54:00,user_000039,sess_001631,page_093,notícias,celular,redes sociais,0,1,160.0,49.4,1
evt_000146,2026-03-03 01:57:00,user_000084,sess_001078,page_019,finanças,celular,direto,0,1,48.4,87.2,0
evt_000147,2026-03-15 00:52:00,user_000549,sess_001447,page_095,tecnologia,celular,referência,1,1,95.3,67.8,0
evt_000148,2026-04-19 07:12:00,user_000307,sess_000194,page_028,notícias,celular,direto,1,1,31.6,95.9,1
evt_000149,2026-03-04 11:57:00,user_002432,sess_001738,page_104,estilo de vida,celular,orgânico,0,1,66.6,22.7,0
evt_000150,2026-04-21 08:09:00,user_000368,sess_000023,page_079,notícias,computador,orgânico,0,1,9.4,67.4,0
evt_000151,2026-03-17 21:11:00,user_001570,sess_001813,page_018,entretenimento,computador,referência,0,1,77.2,60.6,1
evt_000152,2026-04-25 01:25:00,user_002116,sess_001315,page_049,tecnologia,computador,redes sociais,1,1,51.5,60.4,0
evt_000153,2026-03-18 14:46:00,user_001877,sess_000675,page_114,finanças,celular,orgânico,0,1,106.6,57.7,1
evt_000154,2026-03-27 01:24:00,user_001961,sess_000015,page_061,tecnologia,computador,redes sociais,0,1,34.2,64.5,0
evt_000155,2026-04-09 17:09:00,user_001073,sess_001222,page_096,notícias,celular,orgânico,1,1,11.2,18.6,0
evt_000156,2026-03-08 13:50:00,user_002666,sess_000175,page_105,tecnologia,computador,orgânico,1,1,34.6,17.9,0
evt_000157,2026-04-03 10:07:00,user_000206,sess_001218,page_005,tecnologia,computador,referência,1,1,5.3,41.4,1
evt_000158,2026-03-31 07:13:00,user_000322,sess_001546,page_130,notícias,celular,redes sociais,1,1,37.0,17.8,1
evt_000159,2026-04-17 00:48:00,user_002568,sess_000535,page_047,entretenimento,celular,orgânico,0,1,85.1,65.7,0
evt_000160,2026-04-29 18:23:00,user_000205,sess_000478,page_111,notícias,computador,referência,1,1,61.8,38.0,0
evt_000161,2026-04-09 20:36:00,user_000576,sess_000444,page_065,estilo de vida,tablet,newsletter,0,1,35.8,56.4,0
evt_000162,2026-03-25 13:13:00,user_000520,sess_000450,page_081,notícias,computador,referência,1,1,44.9,63.6,0
evt_000163,2026-03-25 09:11:00,user_000100,sess_000228,page_051,tecnologia,celular,direto,1,1,69.6,54.5,0
evt_000164,2026-03-26 01:51:00,user_000351,sess_000500,page_119,notícias,computador,newsletter,0,1,35.2,70.9,0
evt_000165,2026-04-18 20:11:00,user_001718,sess_001318,page_017,notícias,computador,orgânico,1,1,70.1,48.1,0
evt_000166,2026-03-20 06:33:00,user_001983,sess_000605,page_125,finanças,computador,referência,0,1,22.4,64.3,1
evt_000167,2026-03-11 00:26:00,user_000250,sess_001562,page_029,entretenimento,computador,orgânico,0,1,67.0,47.3,0
evt_000168,2026-03-21 01:22:00,user_002827,sess_001638,page_123,esportes,celular,orgânico,0,1,48.7,76.2,1
evt_000169,2026-03-02 08:42:00,user_000288,sess_001522,page_004,estilo de vida,celular,orgânico,1,1,23.2,30.7,1
evt_000170,2026-03-07 08:50:00,user_002061,sess_001079,page_002,finanças,computador,orgânico,0,1,33.3,73.0,1
evt_000171,2026-03-06 09:40:00,user_002401,sess_000633,page_013,tecnologia,tablet,direto,0,1,31.5,88.2,1
evt_000172,2026-04-16 07:02:00,user_001562,sess_001859,page_077,esportes,celular,referência,0,1,95.2,66.9,1
evt_000173,2026-04-13 08:11:00,user_001475,sess_000411,page_038,estilo de vida,computador,orgânico,0,1,89.3,45.5,0
evt_000174,2026-04-11 19:20:00,user_000328,sess_000929,page_084,entretenimento,computador,referência,0,1,29.5,64.2,0
evt_000175,2026-03-28 17:06:00,user_000725,sess_000907,page_114,esportes,computador,direto,1,1,38.3,44.4,0
evt_000176,2026-04-13 00:33:00,user_002551,sess_001491,page_004,finanças,celular,orgânico,0,1,85.7,87.2,0
evt_000177,2026-03-10 16:13:00,user_001046,sess_001094,page_074,entretenimento,celular,direto,0,1,43.2,66.6,1
evt_000178,2026-04-24 00:53:00,user_000104,sess_001599,page_103,esportes,computador,orgânico,0,1,56.3,60.8,0
evt_000179,2026-03-31 01:30:00,user_002187,sess_001838,page_060,esportes,computador,orgânico,0,1,42.3,85.7,0
evt_000180,2026-04-26 06:47:00,user_002051,sess_000781,page_129,esportes,computador,redes sociais,1,1,33.3,58.9,0
evt_000181,2026-03-10 03:19:00,user_000199,sess_001749,page_093,tecnologia,computador,referência,0,1,109.0,28.3,0
evt_000182,2026-03-30 20:09:00,user_000154,sess_000340,page_005,entretenimento,celular,orgânico,1,1,7.6,58.7,1
evt_000183,2026-04-11 18:42:00,user_000350,sess_001832,page_076,estilo de vida,tablet,orgânico,0,1,191.0,51.9,0
evt_000184,2026-03-30 17:42:00,user_000153,sess_000356,page_054,estilo de vida,computador,redes sociais,1,1,40.5,56.9,1
evt_000185,2026-03-27 18:27:00,user_001849,sess_001700,page_019,esportes,computador,direto,0,1,51.2,67.4,1
evt_000186,2026-03-10 23:20:00,user_000398,sess_000781,page_133,notícias,computador,referência,1,1,46.0,71.4,0
evt_000187,2026-03-23 20:40:00,user_001821,sess_001929,page_031,notícias,computador,redes sociais,1,1,31.4,35.7,1
evt_000188,2026-03-15 07:49:00,user_000529,sess_000259,page_012,notícias,celular,referência,0,1,50.3,57.8,0
evt_000189,2026-03-19 02:10:00,user_002917,sess_000931,page_031,notícias,tablet,redes sociais,1,1,96.6,53.5,1
evt_000190,2026-04-11 00:31:00,user_002178,sess_001803,page_115,estilo de vida,celular,orgânico,0,1,45.9,61.7,1
evt_000191,2026-04-07 19:36:00,user_001124,sess_000095,page_084,notícias,computador,redes sociais,1,1,48.1,65.8,0
evt_000192,2026-04-06 10:21:00,user_001286,sess_000530,page_114,notícias,celular,orgânico,0,1,52.8,56.1,1
evt_000193,2026-03-22 17:00:00,user_000196,sess_000168,page_065,esportes,celular,direto,0,1,116.2,33.1,0
evt_000194,2026-04-27 13:57:00,user_000165,sess_000643,page_017,esportes,computador,orgânico,0,1,40.0,55.6,0
evt_000195,2026-03-06 06:12:00,user_001613,sess_000781,page_054,notícias,tablet,orgânico,0,1,128.8,80.8,0
evt_000196,2026-03-21 13:19:00,user_000069,sess_001238,page_028,notícias,celular,newsletter,0,1,44.0,35.2,0
evt_000197,2026-03-08 01:55:00,user_001915,sess_000516,page_078,esportes,celular,referência,0,1,67.5,84.7,1
evt_000198,2026-03-21 08:04:00,user_001147,sess_000318,page_038,finanças,celular,redes sociais,1,1,111.8,31.7,0
evt_000199,2026-04-27 17:07:00,user_000419,sess_000340,page_135,tecnologia,computador,direto,0,1,80.8,61.4,0
evt_000200,2026-03-22 23:25:00,user_001607,sess_001876,page_053,tecnologia,celular,newsletter,0,1,11.5,45.1,1
evt_000201,2026-04-24 12:21:00,user_001659,sess_001906,page_044,tecnologia,celular,orgânico,1,1,96.6,57.0,0
evt_000202,2026-03-30 16:53:00,user_002239,sess_000443,page_137,estilo de vida,tablet,redes sociais,0,1,55.1,72.0,1
evt_000203,2026-04-11 23:34:00,user_000594,sess_000391,page_073,entretenimento,computador,orgânico,0,1,65.6,76.1,0
evt_000204,2026-03-28 10:40:00,user_001642,sess_000109,page_024,finanças,computador,referência,0,1,124.5,91.0,1
evt_000205,2026-03-16 22:51:00,user_002534,sess_001918,page_067,estilo de vida,celular,orgânico,0,1,34.6,26.3,0
evt_000206,2026-04-15 20:29:00,user_000810,sess_001412,page_036,finanças,celular,direto,1,1,119.5,47.8,0
evt_000207,2026-04-28 03:36:00,user_002505,sess_001521,page_100,esportes,celular,orgânico,1,1,38.2,45.8,1
evt_000208,2026-03-16 19:28:00,user_002170,sess_000581,page_080,esportes,celular,redes sociais,0,1,20.7,42.2,1
evt_000209,2026-04-16 17:24:00,user_001289,sess_001282,page_102,notícias,celular,referência,1,1,51.4,65.8,0
evt_000210,2026-03-16 16:02:00,user_002649,sess_000120,page_131,tecnologia,celular,orgânico,0,1,22.7,73.2,0
evt_000211,2026-04-13 00:19:00,user_002900,sess_001352,page_102,notícias,computador,newsletter,0,1,25.9,20.1,0
evt_000212,2026-04-17 08:10:00,user_000711,sess_001159,page_048,estilo de vida,celular,orgânico,0,1,40.5,35.4,1
evt_000213,2026-03-27 23:04:00,user_002939,sess_000663,page_029,tecnologia,celular,redes sociais,0,1,112.8,53.9,0
evt_000214,2026-04-14 05:09:00,user_000008,sess_001421,page_074,finanças,celular,direto,1,1,73.6,65.0,0
evt_000215,2026-03-17 08:01:00,user_000388,sess_001293,page_063,notícias,celular,orgânico,0,1,21.4,88.8,0
evt_000216,2026-03-05 18:07:00,user_000130,sess_000878,page_044,finanças,celular,redes sociais,0,1,162.3,40.5,0
evt_000217,2026-03-06 18:48:00,user_001103,sess_000374,page_113,esportes,computador,redes sociais,1,1,123.4,46.3,1
evt_000218,2026-03-27 19:42:00,user_002811,sess_000048,page_127,entretenimento,computador,redes sociais,1,1,12.8,83.2,0
evt_000219,2026-04-24 03:44:00,user_001801,sess_001875,page_054,estilo de vida,computador,direto,1,1,4.7,46.8,0
evt_000220,2026-03-08 15:42:00,user_001850,sess_000563,page_095,tecnologia,celular,redes sociais,1,1,78.9,71.6,1
evt_000221,2026-03-28 08:19:00,user_000255,sess_000604,page_137,finanças,celular,orgânico,1,1,133.9,55.7,1
evt_000222,2026-04-12 05:48:00,user_001548,sess_001362,page_002,tecnologia,tablet,orgânico,0,1,65.8,51.8,0
evt_000223,2026-03-13 03:24:00,user_001148,sess_000511,page_051,tecnologia,celular,newsletter,1,1,59.9,68.4,0
evt_000224,2026-04-13 07:07:00,user_001438,sess_000752,page_103,notícias,celular,redes sociais,1,1,27.0,51.6,0
evt_000225,2026-03-19 08:34:00,user_000784,sess_001422,page_070,esportes,celular,orgânico,0,1,80.1,42.2,0
evt_000226,2026-04-18 12:28:00,user_000605,sess_001191,page_111,notícias,celular,orgânico,0,1,46.8,71.1,1
evt_000227,2026-04-04 18:04:00,user_002856,sess_001313,page_066,finanças,celular,direto,0,1,25.3,47.0,0
