event_id,timestamp,publisher_id,site_id,session_id,page_id,page_category,ad_unit,ad_format,device,country,ad_requests,impressions,viewable_impressions,clicks,revenue
evt_000047,2026-04-23 14:05:00,demo_publisher,site B,sess_001141,page_068,esportes,topo da página,nativo,tablet,BR,5,5,1,0,0.01513
evt_000048,2026-04-10 16:12:00,demo_publisher,site C,sess_000350,page_115,finanças,meio do artigo,nativo,computador,CL,3,2,1,0,0.01723
evt_000049,2026-04-16 16:52:00,demo_publisher,site A,sess_000628,page_101,tecnologia,topo da página,nativo,celular,CL,2,2,0,1,0.01055
evt_000050,2026-04-15 14:15:00,demo_publisher,site A,sess_000830,page_028,finanças,topo da página,mídia rica,celular,US,1,1,1,0,0.01406
evt_000051,2026-03-12 16:16:00,demo_publisher,site A,sess_000283,page_073,notícias,intersticial,banner,celular,BR,4,3,2,0,0.0369
evt_000052,2026-03-22 20:01:00,demo_publisher,site C,sess_000779,page_030,notícias,meio do artigo,mídia rica,celular,CL,6,5,2,0,0.02314
evt_000053,2026-03-29 00:04:00,demo_publisher,site B,sess_000534,page_106,finanças,topo da página,banner,celular,AR,1,0,0,0,0.00154
evt_000054,2026-03-30 20:49:00,demo_publisher,site B,sess_001699,page_005,entretenimento,intersticial,banner,celular,BR,1,0,0,0,0.0
evt_000055,2026-03-03 15:04:00,demo_publisher,site B,sess_001719,page_115,estilo de vida,topo da página,banner,computador,BR,1,1,0,0,0.00473
evt_000056,2026-04-02 19:03:00,demo_publisher,site A,sess_000010,page_130,esportes,topo da página,banner,tablet,BR,4,3,2,1,0.01478
evt_000057,2026-03-10 06:10:00,demo_publisher,site A,sess_001205,page_004,entretenimento,topo da página,banner,celular,BR,2,2,1,0,0.01478
evt_000058,2026-04-14 14:27:00,demo_publisher,site A,sess_001281,page_088,esportes,meio do artigo,vídeo,computador,BR,5,3,2,0,0.0247
evt_000059,2026-04-10 23:35:00,demo_publisher,site A,sess_000756,page_011,finanças,rodapé fixo,vídeo,computador,BR,5,5,4,0,0.04201
evt_000060,2026-04-25 08:26:00,demo_publisher,site C,sess_000938,page_051,notícias,topo da página,vídeo,celular,BR,4,4,3,0,0.02441
evt_000061,2026-04-14 16:27:00,demo_publisher,site C,sess_001580,page_047,tecnologia,lateral,banner,celular,CL,1,1,1,0,0.0
evt_000062,2026-03-22 23:57:00,demo_publisher,site A,sess_000756,page_073,tecnologia,topo da página,vídeo,celular,BR,4,3,2,0,0.00875
evt_000063,2026-04-28 01:12:00,demo_publisher,site A,sess_000129,page_128,tecnologia,topo da página,banner,computador,BR,3,3,2,0,0.01739
evt_000064,2026-03-25 15:37:00,demo_publisher,site B,sess_000745,page_065,esportes,lateral,vídeo,celular,BR,6,5,4,0,0.07898
evt_000065,2026-03-20 13:11:00,demo_publisher,site B,sess_000508,page_056,finanças,rodapé fixo,vídeo,computador,BR,5,2,2,0,0.02845
evt_000066,2026-04-24 07:58:00,demo_publisher,site A,sess_000766,page_013,notícias,meio do artigo,banner,computador,BR,6,6,3,0,0.02377
evt_000067,2026-03-23 05:27:00,demo_publisher,site A,sess_000460,page_124,entretenimento,topo da página,nativo,celular,BR,3,3,0,0,0.00984
evt_000068,2026-03-05 13:56:00,demo_publisher,site B,sess_000300,page_044,notícias,topo da página,mídia rica,computador,BR,2,2,2,0,0.03132
evt_000069,2026-03-29 04:09:00,demo_publisher,site B,sess_001970,page_065,estilo de vida,lateral,banner,computador,MX,3,2,0,0,0.00808
evt_000070,2026-04-17 17:46:00,demo_publisher,site B,sess_000258,page_013,tecnologia,lateral,vídeo,computador,BR,5,5,2,0,0.03012
evt_000071,2026-03-12 08:50:00,demo_publisher,site A,sess_001412,page_041,notícias,meio do artigo,mídia rica,computador,BR,4,2,0,0,0.01028
evt_000072,2026-03-28 18:38:00,demo_publisher,site B,sess_001435,page_077,esportes,topo da página,banner,computador,BR,3,3,2,0,0.02029
evt_000073,2026-03-08 19:05:00,demo_publisher,site B,sess_001235,page_126,notícias,rodapé fixo,banner,computador,BR,6,3,2,0,0.01418
evt_000074,2026-04-11 04:31:00,demo_publisher,site A,sess_001823,page_046,estilo de vida,topo da página,banner,celular,BR,3,3,2,0,0.0182
evt_000075,2026-03-29 13:00:00,demo_publisher,site A,sess_000010,page_078,entretenimento,lateral,vídeo,tablet,BR,6,4,0,0,0.02475
evt_000076,2026-03-20 19:28:00,demo_publisher,site B,sess_000603,page_122,finanças,lateral,banner,computador,BR,4,4,4,1,0.01183
evt_000077,2026-03-14 14:44:00,demo_publisher,site B,sess_000369,page_051,entretenimento,topo da página,nativo,celular,BR,1,1,1,0,0.00583
evt_000078,2026-04-03 20:52:00,demo_publisher,site A,sess_001154,page_041,notícias,meio do artigo,banner,celular,BR,3,1,0,0,0.00359
evt_000079,2026-04-10 04:31:00,demo_publisher,site A,sess_001271,page_007,esportes,meio do artigo,mídia rica,computador,BR,5,4,4,0,0.02666
evt_000080,2026-04-26 10:02:00,demo_publisher,site A,sess_001795,page_127,entretenimento,lateral,mídia rica,computador,US,6,4,1,0,0.01701
evt_000081,2026-03-27 05:29:00,demo_publisher,site C,sess_000760,page_016,entretenimento,rodapé fixo,nativo,computador,BR,4,3,3,0,0.03082
evt_000082,2026-03-10 15:23:00,demo_publisher,site C,sess_000472,page_030,esportes,meio do artigo,mídia rica,celular,BR,1,1,1,0,0.00841
evt_000083,2026-04-19 23:03:00,demo_publisher,site B,sess_001848,page_020,estilo de vida,topo da página,nativo,celular,BR,3,3,2,0,0.01001
evt_000084,2026-04-07 18:51:00,demo_publisher,site A,sess_001346,page_099,entretenimento,meio do artigo,mídia rica,computador,BR,6,3,1,0,0.01318
evt_000085,2026-04-12 00:22:00,demo_publisher,site B,sess_001529,page_051,tecnologia,lateral,banner,computador,US,3,2,1,0,0.01643
evt_000086,2026-03-06 20:00:00,demo_publisher,site C,sess_000890,page_098,estilo de vida,meio do artigo,banner,computador,BR,3,1,0,0,0.00265
evt_000087,2026-03-19 17:48:00,demo_publisher,site B,sess_000895,page_085,notícias,rodapé fixo,mídia rica,celular,US,6,4,3,0,0.02399
evt_000088,2026-04-16 01:41:00,demo_publisher,site A,sess_000778,page_003,notícias,topo da página,banner,computador,US,3,2,1,0,0.0098
evt_000089,2026-04-19 22:27:00,demo_publisher,site A,sess_001499,page_043,estilo de vida,topo da página,banner,celular,BR,5,4,2,0,0.00927
evt_000090,2026-03-27 02:42:00,demo_publisher,site A,sess_000422,page_001,finanças,topo da página,vídeo,celular,BR,1,1,1,0,0.00622
evt_000091,2026-04-18 06:51:00,demo_publisher,site A,sess_001950,page_010,esportes,rodapé fixo,nativo,celular,BR,4,2,1,0,0.01224
evt_000092,2026-04-20 12:02:00,demo_publisher,site B,sess_000352,page_066,esportes,lateral,banner,computador,BR,1,0,0,0,0.00617
evt_000093,2026-03-24 05:58:00,demo_publisher,site B,sess_000922,page_037,esportes,meio do artigo,banner,celular,MX,2,1,0,0,0.00585
evt_000094,2026-04-23 21:14:00,demo_publisher,site B,sess_000629,page_013,finanças,meio do artigo,banner,celular,CL,4,2,0,0,0.00584
evt_000095,2026-03-18 07:11:00,demo_publisher,site B,sess_001285,page_057,esportes,rodapé fixo,banner,celular,BR,4,4,4,0,0.00967
evt_000096,2026-03-15 08:57:00,demo_publisher,site A,sess_001361,page_063,esportes,rodapé fixo,banner,celular,BR,1,1,1,0,0.00452
evt_000097,2026-04-10 22:47:00,demo_publisher,site C,sess_001837,page_138,notícias,meio do artigo,nativo,computador,BR,3,3,2,0,0.02132
evt_000098,2026-04-08 04:56:00,demo_publisher,site A,sess_001578,page_092,tecnologia,rodapé fixo,vídeo,computador,BR,3,2,1,0,0.00254
evt_000099,2026-03-09 09:14:00,demo_publisher,site A,sess_000498,page_055,estilo de vida,rodapé fixo,banner,celular,BR,3,3,3,0,0.00974
evt_000100,2026-04-19 23:08:00,demo_publisher,site C,sess_000414,page_066,notícias,meio do artigo,banner,celular,AR,5,5,1,0,0.01983
evt_000101,2026-03-12 23:52:00,demo_publisher,site B,sess_001773,page_013,finanças,meio do artigo,nativo,celular,BR,6,4,3,0,0.01379
evt_000102,2026-04-18 07:03:00,demo_publisher,site A,sess_000976,page_054,finanças,meio do artigo,banner,celular,MX,1,1,1,0,0.0
evt_000103,2026-03-01 10:36:00,demo_publisher,site B,sess_000195,page_081,estilo de vida,meio do artigo,banner,celular,MX,6,5,2,0,0.01369
evt_000104,2026-04-17 19:27:00,demo_publisher,site B,sess_001650,page_003,estilo de vida,rodapé fixo,banner,celular,BR,1,1,1,0,0.00622
evt_000105,2026-04-17 05:10:00,demo_publisher,site C,sess_001297,page_128,estilo de vida,meio do artigo,nativo,computador,US,6,6,2,0,0.02618
evt_000106,2026-04-16 19:43:00,demo_publisher,site B,sess_000052,page_072,estilo de vida,topo da página,banner,computador,BR,4,3,3,0,0.02514
evt_000107,2026-04-09 21:23:00,demo_publisher,site C,sess_001565,page_110,notícias,meio do artigo,banner,tablet,US,5,5,5,0,0.01882
evt_000108,2026-03-29 07:03:00,demo_publisher,site B,sess_001215,page_039,esportes,lateral,nativo,celular,BR,2,2,0,0,0.00715
evt_000109,2026-04-12 07:26:00,demo_publisher,site B,sess_001229,page_117,notícias,topo da página,vídeo,tablet,US,4,4,3,0,0.02651
evt_000110,2026-03-17 15:03:00,demo_publisher,site C,sess_001730,page_051,finanças,meio do artigo,vídeo,celular,AR,4,2,2,0,0.01251
evt_000111,2026-04-16 20:14:00,demo_publisher,site A,sess_000991,page_130,finanças,topo da página,mídia rica,tablet,BR,2,2,1,0,0.01027
evt_000112,2026-04-03 08:07:00,demo_publisher,site A,sess_000923,page_073,tecnologia,rodapé fixo,nativo,computador,BR,4,4,0,0,0.01982
evt_000113,2026-03-28 12:50:00,demo_publisher,site A,sess_001235,page_089,notícias,topo da página,banner,celular,BR,6,4,0,0,0.01302
evt_000114,2026-03-31 08:04:00,demo_publisher,site A,sess_000396,page_029,estilo de vida,topo da página,banner,celular,BR,1,1,0,0,0.00144
evt_000115,2026-04-04 02:59:00,demo_publisher,site B,sess_000304,page_139,esportes,rodapé fixo,banner,computador,BR,3,2,2,0,0.00717
evt_000116,2026-03-03 05:39:00,demo_publisher,site A,sess_001687,page_027,esportes,topo da página,banner,computador,US,3,2,1,0,0.00947
evt_000117,2026-03-09 09:18:00,demo_publisher,site B,sess_000431,page_005,tecnologia,lateral,banner,computador,MX,2,2,2,0,0.00954
evt_000118,2026-03-15 17:29:00,demo_publisher,site C,sess_001009,page_062,notícias,meio do artigo,banner,computador,BR,3,1,1,0,0.00402
evt_000119,2026-03-07 20:55:00,demo_publisher,site A,sess_000540,page_117,esportes,rodapé fixo,vídeo,tablet,BR,1,1,1,0,0.00885
evt_000120,2026-03-27 09:02:00,demo_publisher,site B,sess_000461,page_129,esportes,topo da página,nativo,tablet,BR,1,1,1,0,0.00354
evt_000121,2026-04-10 02:30:00,demo_publisher,site C,sess_001195,page_120,tecnologia,topo da página,banner,celular,BR,6,3,3,0,0.02384
evt_000122,2026-04-09 06:22:00,demo_publisher,site A,sess_001604,page_077,notícias,topo da página,nativo,tablet,BR,2,1,0,0,0.00604
evt_000123,2026-03-29 06:22:00,demo_publisher,site A,sess_000884,page_128,entretenimento,rodapé fixo,banner,celular,MX,2,2,0,0,0.0074
evt_000124,2026-04-21 07:18:00,demo_publisher,site C,sess_000278,page_069,entretenimento,rodapé fixo,nativo,tablet,BR,4,3,3,0,0.01104
evt_000125,2026-04-03 21:56:00,demo_publisher,site A,sess_000489,page_067,tecnologia,meio do artigo,nativo,computador,CL,5,4,4,0,0.0499
evt_000126,2026-03-05 18:02:00,demo_publisher,site C,sess_000329,page_026,esportes,topo da página,banner,computador,MX,6,5,4,0,0.0154
evt_000127,2026-04-15 21:35:00,demo_publisher,site A,sess_001765,page_110,estilo de vida,topo da página,banner,celular,MX,4,3,2,0,0.00654
evt_000128,2026-04-04 11:25:00,demo_publisher,site B,sess_000639,page_044,notícias,topo da página,mídia rica,celular,BR,2,2,0,0,0.01649
evt_000129,2026-04-08 01:59:00,demo_publisher,site C,sess_000748,page_028,entretenimento,topo da página,nativo,celular,BR,2,2,1,0,0.00679
evt_000130,2026-04-03 22:08:00,demo_publisher,site C,sess_000143,page_052,finanças,rodapé fixo,nativo,celular,BR,5,4,3,0,0.01838
evt_000131,2026-04-03 05:09:00,demo_publisher,site A,sess_000892,page_084,notícias,topo da página,banner,computador,BR,6,6,2,0,0.02305
evt_000132,2026-03-06 10:24:00,demo_publisher,site A,sess_001827,page_038,esportes,rodapé fixo,banner,computador,CL,6,4,3,0,0.03403
evt_000133,2026-04-03 13:15:00,demo_publisher,site A,sess_000819,page_050,tecnologia,topo da página,banner,celular,BR,6,6,3,0,0.05572
evt_000134,2026-04-17 16:40:00,demo_publisher,site B,sess_001302,page_046,entretenimento,rodapé fixo,mídia rica,celular,BR,4,3,2,0,0.01483
evt_000135,2026-03-19 05:41:00,demo_publisher,site A,sess_000364,page_083,finanças,meio do artigo,banner,computador,BR,2,2,1,0,0.01228
evt_000136,2026-04-06 04:05:00,demo_publisher,site A,sess_000286,page_100,finanças,topo da página,banner,celular,BR,3,2,2,0,0.01139
evt_000137,2026-03-02 20:22:00,demo_publisher,site B,sess_001463,page_094,tecnologia,rodapé fixo,mídia rica,computador,BR,1,1,1,0,0.00721
evt_000138,2026-03-21 20:23:00,demo_publisher,site C,sess_000132,page_020,tecnologia,topo da página,nativo,celular,BR,3,2,1,0,0.01191
evt_000139,2026-03-27 04:52:00,demo_publisher,site C,sess_000897,page_049,tecnologia,rodapé fixo,banner,celular,BR,4,3,3,0,0.01187
evt_000140,2026-04-28 23:08:00,demo_publisher,site A,sess_000634,page_091,esportes,rodapé fixo,nativo,celular,BR,5,4,3,0,0.01414
evt_000141,2026-03-13 21:00:00,demo_publisher,site C,sess_000033,page_031,estilo de vida,intersticial,nativo,tablet,BR,2,1,0,0,0.00321
evt_000142,2026-03-17 14:13:00,demo_publisher,site A,sess_001062,page_010,tecnologia,rodapé fixo,mídia rica,celular,BR,5,3,2,1,0.02077
evt_000143,2026-03-25 12:16:00,demo_publisher,site C,sess_001928,page_045,notícias,topo da página,banner,tablet,BR,2,2,2,0,0.01555
evt_000144,2026-04-29 13:26:00,demo_publisher,site B,sess_000139,page_095,esportes,meio do artigo,vídeo,celular,BR,5,3,1,0,0.01958
evt_000145,2026-04-21 04:54:00,demo_publisher,site A,sess_001631,page_093,notícias,lateral,banner,celular,BR,6,5,4,1,0.01113
evt_000146,2026-03-03 01:57:00,demo_publisher,site C,sess_001078,page_019,finanças,meio do artigo,vídeo,celular,BR,2,1,1,0,0.01196
evt_000147,2026-03-15 00:52:00,demo_publisher,site A,sess_001447,page_095,tecnologia,meio do artigo,vídeo,celular,US,2,1,1,0,0.00589
evt_000148,2026-04-19 07:12:00,demo_publisher,site B,sess_000194,page_028,notícias,topo da página,vídeo,celular,BR,6,5,5,0,0.01608
evt_000149,2026-03-04 11:57:00,demo_publisher,site B,sess_001738,page_104,estilo de vida,lateral,vídeo,celular,BR,3,3,2,0,0.03071
evt_000150,2026-04-21 08:09:00,demo_publisher,site A,sess_000023,page_079,notícias,meio do artigo,vídeo,computador,BR,2,2,1,0,0.01409
evt_000151,2026-03-17 21:11:00,demo_publisher,site A,sess_001813,page_018,entretenimento,topo da página,banner,computador,BR,2,2,1,0,0.00605
evt_000152,2026-04-25 01:25:00,demo_publisher,site A,sess_001315,page_049,tecnologia,intersticial,banner,computador,MX,3,3,2,0,0.01962
evt_000153,2026-03-18 14:46:00,demo_publisher,site A,sess_000675,page_114,finanças,rodapé fixo,banner,celular,AR,3,2,2,0,0.023
evt_000154,2026-03-27 01:24:00,demo_publisher,site C,sess_000015,page_061,tecnologia,meio do artigo,nativo,computador,BR,6,4,1,0,0.02155
evt_000155,2026-04-09 17:09:00,demo_publisher,site A,sess_001222,page_096,notícias,topo da página,banner,celular,BR,3,2,1,0,0.00124
evt_000156,2026-03-08 13:50:00,demo_publisher,site B,sess_000175,page_105,tecnologia,lateral,vídeo,computador,BR,3,3,3,0,0.02289
evt_000157,2026-04-03 10:07:00,demo_publisher,site B,sess_001218,page_005,tecnologia,topo da página,vídeo,computador,BR,2,1,1,0,0.00618
evt_000158,2026-03-31 07:13:00,demo_publisher,site B,sess_001546,page_130,notícias,lateral,mídia rica,celular,BR,5,4,1,1,0.02432
evt_000159,2026-04-17 00:48:00,demo_publisher,site A,sess_000535,page_047,entretenimento,rodapé fixo,banner,celular,BR,5,5,2,0,0.01735
evt_000160,2026-04-29 18:23:00,demo_publisher,site B,sess_000478,page_111,notícias,topo da página,vídeo,computador,US,4,3,2,0,0.01872
evt_000161,2026-04-09 20:36:00,demo_publisher,site C,sess_000444,page_065,estilo de vida,meio do artigo,vídeo,tablet,BR,5,4,2,0,0.01793
evt_000162,2026-03-25 13:13:00,demo_publisher,site A,sess_000450,page_081,notícias,topo da página,mídia rica,computador,BR,2,2,1,0,0.03298
evt_000163,2026-03-25 09:11:00,demo_publisher,site A,sess_000228,page_051,tecnologia,meio do artigo,vídeo,celular,BR,4,2,1,0,0.00693
evt_000164,2026-03-26 01:51:00,demo_publisher,site C,sess_000500,page_119,notícias,lateral,banner,computador,BR,5,5,1,0,0.01416
evt_000165,2026-04-18 20:11:00,demo_publisher,site C,sess_001318,page_017,notícias,topo da página,banner,computador,CL,6,5,3,0,0.02213
evt_000166,2026-03-20 06:33:00,demo_publisher,site B,sess_000605,page_125,finanças,intersticial,mídia rica,computador,BR,2,2,2,0,0.0215
evt_000167,2026-03-11 00:26:00,demo_publisher,site C,sess_001562,page_029,entretenimento,lateral,vídeo,computador,BR,1,1,0,0,0.00485
evt_000168,2026-03-21 01:22:00,demo_publisher,site C,sess_001638,page_123,esportes,topo da página,vídeo,celular,BR,5,5,1,0,0.03181
evt_000169,2026-03-02 08:42:00,demo_publisher,site A,sess_001522,page_004,estilo de vida,meio do artigo,vídeo,celular,BR,4,3,1,0,0.0227
evt_000170,2026-03-07 08:50:00,demo_publisher,site A,sess_001079,page_002,finanças,meio do artigo,vídeo,computador,BR,1,1,1,0,0.03209
evt_000171,2026-03-06 09:40:00,demo_publisher,site B,sess_000633,page_013,tecnologia,meio do artigo,vídeo,tablet,BR,5,4,1,0,0.02363
evt_000172,2026-04-16 07:02:00,demo_publisher,site B,sess_001859,page_077,esportes,meio do artigo,mídia rica,celular,BR,3,2,2,0,0.00721
evt_000173,2026-04-13 08:11:00,demo_publisher,site C,sess_000411,page_038,estilo de vida,topo da página,mídia rica,computador,BR,4,4,1,0,0.01856
evt_000174,2026-04-11 19:20:00,demo_publisher,site B,sess_000929,page_084,entretenimento,topo da página,banner,computador,US,3,3,1,0,0.01477
evt_000175,2026-03-28 17:06:00,demo_publisher,site A,sess_000907,page_114,esportes,topo da página,banner,computador,BR,6,5,4,0,0.06042
evt_000176,2026-04-13 00:33:00,demo_publisher,site A,sess_001491,page_004,finanças,topo da página,banner,celular,BR,3,2,2,0,0.01136
evt_000177,2026-03-10 16:13:00,demo_publisher,site C,sess_001094,page_074,entretenimento,lateral,banner,celular,AR,4,2,2,0,0.00555
evt_000178,2026-04-24 00:53:00,demo_publisher,site B,sess_001599,page_103,esportes,intersticial,vídeo,computador,BR,4,3,3,0,0.01051
evt_000179,2026-03-31 01:30:00,demo_publisher,site A,sess_001838,page_060,esportes,lateral,vídeo,computador,BR,6,5,5,1,0.04049
evt_000180,2026-04-26 06:47:00,demo_publisher,site B,sess_000781,page_129,esportes,intersticial,banner,computador,BR,4,3,1,0,0.01067
evt_000181,2026-03-10 03:19:00,demo_publisher,site B,sess_001749,page_093,tecnologia,meio do artigo,banner,computador,BR,1,0,0,0,0.00044
evt_000182,2026-03-30 20:09:00,demo_publisher,site A,sess_000340,page_005,entretenimento,meio do artigo,nativo,celular,BR,6,5,4,0,0.01548
evt_000183,2026-04-11 18:42:00,demo_publisher,site C,sess_001832,page_076,estilo de vida,rodapé fixo,vídeo,tablet,US,1,1,0,0,0.00364
evt_000184,2026-03-30 17:42:00,demo_publisher,site A,sess_000356,page_054,estilo de vida,topo da página,nativo,computador,BR,4,2,2,0,0.00779
evt_000185,2026-03-27 18:27:00,demo_publisher,site B,sess_001700,page_019,esportes,topo da página,banner,computador,US,3,3,2,0,0.0075
evt_000186,2026-03-10 23:20:00,demo_publisher,site A,sess_000781,page_133,notícias,intersticial,banner,computador,BR,3,0,0,0,0.0
evt_000187,2026-03-23 20:40:00,demo_publisher,site B,sess_001929,page_031,notícias,lateral,nativo,computador,BR,6,4,2,0,0.02171
evt_000188,2026-03-15 07:49:00,demo_publisher,site C,sess_000259,page_012,notícias,rodapé fixo,nativo,celular,BR,1,1,1,0,0.00319
